,ItemID,LocationID,ItemDescription,DateObtained,Price,Weight,OwnerID,CategoryID,CityID,Souvenir_Name,Category_Name,Location_Name,Latitude,Longitude,Owner_Name,RegionID,Region_Name,CountryID,Country_Name,City_Name
0,1,9.0,,2019/02/15,7.5,12.0,3,7,,Grizzly Bear Mug,Kitchenware,Rocky Mountain National Park,40.343182,-105.688103,Group 3,,,,,
1,2,9.0,,2019/02/17,9.99,20.0,3,7,,Snowy Mountain Mug,Kitchenware,Rocky Mountain National Park,40.343182,-105.688103,Group 3,,,,,
2,3,10.0,,2019/03/05,12.99,16.0,3,7,,Lobster Mug,Kitchenware,Offshore Trap/Pot Waters Area,38.0,-82.0,Group 3,,,,,
3,4,11.0,,2019/04/18,10.25,16.0,3,7,,Sea Lion Mug,Kitchenware,Steller Sea Lion Protection Area,57.466667,-153.433334,Group 3,,,,,
4,5,12.0,,2019/05/07,6.91,20.0,3,7,,Coral Reef Mug,Kitchenware,Pacific Remote Islands Marine National Monument,16.736944,-169.523895,Group 3,,,,,
5,6,13.0,,2019/06/15,8.99,12.0,3,7,,Ocean Life Mug,Kitchenware,Papahanaumokuakea Marine National Monument,25.700001,-171.733337,Group 3,,,,,
6,7,14.0,,2019/07/21,9.75,16.0,3,7,,Landscape Mug,Kitchenware,Danville Conservation Area,38.865097,-91.504852,Group 3,,,,,
7,8,15.0,,2019/08/01,13.25,24.0,3,7,,Bird Mug,Kitchenware,Sand Harbor State Park,39.198364,-119.930984,Group 3,,,,,
8,9,16.0,,2019/09/15,11.4,20.0,3,7,,Dunes Mug,Kitchenware,White Sands National Park,32.77972,-106.171669,Group 3,,,,,
9,10,17.0,,2019/10/15,19.99,12.0,3,7,,Skier Mug,Kitchenware,Jackson Hole,43.582767,-110.821999,Group 3,,,,,
10,11,18.0,,2019/11/09,14.25,16.0,3,7,,Desert Mug,Kitchenware,Mojave National Preserve,35.141689,-115.510399,Group 3,,,,,
11,12,9.0,,2019/11/27,12.99,20.0,3,7,,Mountain City Mug,Kitchenware,Rocky Mountain National Park,40.343182,-105.688103,Group 3,,,,,
12,13,19.0,,2019/12/04,12.5,12.0,3,7,,Joshua Tree Mug,Kitchenware,Joshua Tree National Park,33.881866,-115.90065,Group 3,,,,,
13,14,20.0,,2020/01/15,11.99,20.0,3,7,,River View Mug,Kitchenware,Buffalo National River,35.985512,-92.757652,Group 3,,,,,
14,15,21.0,,2020/02/13,10.75,16.0,3,7,,Hot Springs Mug,Kitchenware,Hot Springs National Park,34.52153,-93.042267,Group 3,,,,,
15,16,22.0,,2020/03/15,10.99,12.0,3,7,,Cave Bat Mug,Kitchenware,Kartchner Caverns State Park,31.837551,-110.347382,Group 3,,,,,
16,17,17.0,,2021/01/11,15.0,12.0,3,7,,Cowboy Mug,Kitchenware,Jackson Hole,43.582767,-110.821999,Group 3,,,,,
17,18,20.0,,2021/02/28,12.25,20.0,3,7,,Buffalo Mug,Kitchenware,Buffalo National River,35.985512,-92.757652,Group 3,,,,,
18,19,18.0,,2021/03/26,9.95,16.0,3,7,,Gila Monster Mug,Kitchenware,Mojave National Preserve,35.141689,-115.510399,Group 3,,,,,
19,20,12.0,,2021/05/08,25.0,24.0,3,7,,Pink Mug,Kitchenware,Pacific Remote Islands Marine National Monument,16.736944,-169.523895,Group 3,,,,,
20,21,,"Very good dirt. Solid, reliable.",2007/03/21,0.0,4.0,5,6,60.0,Central Park-dirt,Geological,,,,Group 5,54.0,New York,41.0,United States,New York City
21,22,,Dry and depressing,2009/08/01,0.0,4.0,5,6,39.0,Hollywood Bowl-dirt,Geological,,,,Group 5,6.0,California,41.0,United States,Los Angeles
22,23,,Tastes rich in Oxygen,2010/03/11,0.0,4.0,5,6,18.0,Burham Park-dirt,Geological,,,,Group 5,34.0,Illinois,41.0,United States,Chicago
23,24,,Unimagineable feeling between the toes,2015/12/25,0.0,4.0,5,6,14.0,Playa Tortugas-sand,Geological,,,,Group 5,61.0,Quintana Roo,23.0,Mexico,Cancun
24,25,,High in phosphates,2018/04/22,0.0,4.0,5,6,73.0,Bukhansan National Park-dirt,Geological,,,,Group 5,24.0,Gyeonggi,35.0,South Korea,Seoul
25,26,,"There's something fishy in here, got sick after tasting it…",2019/09/28,0.0,4.0,5,6,89.0,Wuhan Institute of Virology-dirt,Geological,,,,Group 5,32.0,Hubei,5.0,China,Wuhan
26,27,,Very soft,2020/06/12,0.0,4.0,5,6,78.0,TEL AVIV BEACH-sand,Geological,,,,Group 5,68.0,Tel Aviv,16.0,Israel,Tel Aviv
27,28,,Smallest dirt on earth. Pathetic,2020/08/20,0.0,4.0,5,6,40.0,Bourscheid Neige Luges-dirt,Geological,,,,Group 5,45.0,Luxembourg,20.0,Luxembourg,Luxembourg
28,29,,It's coarse. Gets everywhere. I don't like it,2020/09/20,0.0,4.0,5,6,16.0,Lagoon Beach-sand,Geological,,,,Group 5,81.0,Western Cape,34.0,South Africa,Cape Town
29,30,,Tastes like they have never won a war,2021/02/20,0.0,4.0,5,6,66.0,Champ de Mars-dirt,Geological,,,,Group 5,33.0,Ile-de-France,11.0,France,Paris
30,31,,"Very soft, great color",2021/07/20,0.0,4.0,5,6,69.0,Playa del Carmen-sand,Geological,,,,Group 5,61.0,Quintana Roo,23.0,Mexico,Playa del Carmen
31,32,,"Medium coarseness, tons of shells",2021/12/20,0.0,4.0,5,6,69.0,Playa Punta Esmeralda-sand,Geological,,,,Group 5,61.0,Quintana Roo,23.0,Mexico,Playa del Carmen
32,33,,Looks very rich. I got a worm in here!,2021/02/20,0.0,4.0,5,6,38.0,Hyde Park-dirt,Geological,,,,Group 5,43.0,London,9.0,England,London
33,34,,BASIC,2021/01/20,0.0,4.0,5,6,61.0,National Park-dirt,Geological,,,,Group 5,1.0,Alpes-Maritimes,11.0,France,Nice
34,35,,Neat.,2021/03/20,0.0,4.0,5,6,84.0,Promenade des Anglais-sand,Geological,,,,Group 5,72.0,Ulaanbaatar,24.0,Mongolia,Ulaanbaatar
35,36,,Lots of critters and life. Kinda stinky,2017/08/20,0.0,4.0,5,6,19.0,Hikkaduwa Beach-sand,Geological,,,,Group 5,82.0,Western Province,37.0,Sri Lanka,Colombo
36,37,,Very Nice,2014/01/20,0.0,4.0,5,6,56.0,Al Bustan Beach-sand,Geological,,,,Group 5,51.0,Muscat,28.0,Oman,Muscat
37,38,,Exotic,2000/06/20,0.0,4.0,5,6,2.0,Palm Beach-sand,Geological,,,,Group 5,15.0,Diana,21.0,Madagascar,Ambondrona
38,39,,Better dirt than expected,2004/09/20,0.0,4.0,5,6,46.0,Parco delle fonti-dirt,Geological,,,,Group 5,20.0,Forlì-Cesena,17.0,Italy,Meldola
39,40,,"Hints of nostalgia from the great days of the USSR; however, a bit stale",2018/07/20,0.0,4.0,5,6,42.0,Park Lenina-dirt,Geological,,,,Group 5,36.0,Kostroma Oblast,31.0,Russia,Makaryev
40,41,,Common white quartz found in Utah,2020/06/01,0.0,,4,6,8.0,Quartz rock,Geological,,,,Group 4,73.0,Utah,41.0,United States,Beaver
41,42,,Bronze NYC ornament bought from visitors center,2019/12/30,0.0,,4,8,60.0,NYC bronze ornament,Miscellaneous,,,,Group 4,54.0,New York,41.0,United States,New York City
42,43,,Souvenir shop item commemorating the second ammendment.,2021/01/02,0.0,,4,11,21.0,Texas Pen,Tool,,,,Group 4,69.0,Texas,41.0,United States,Dallas
43,44,,Cute shot glass from Key West Florida,2020/12/25,0.0,,4,7,32.0,I Got Tipsy In Key West shot glass,Kitchenware,,,,Group 4,19.0,Florida,41.0,United States,Key West
44,45,,Sick T-Shirt from a wild PCB spring break back in '99,1999/04/27,0.0,,4,4,65.0,PCB T-Shirt,Clothing,,,,Group 4,19.0,Florida,41.0,United States,Panama City Beach
45,46,,Raise hell and praise Dale,2008/02/05,0.0,,4,4,22.0,Daytona 500 Hat,Clothing,,,,Group 4,19.0,Florida,41.0,United States,Daytona Beach
46,47,,9/11 Memorial bronze ornament,2020/03/14,0.0,,4,8,88.0,9/11 bronze ornament,Miscellaneous,,,,Group 4,79.0,Washington DC,41.0,United States,Washington DC
